"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"43",22.7,0.000281879194630872,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.92,NA,NA,16.02
"44",1e+06,0.000281879194630872,"seagrass",431.1,NA,0,0.11,NA,0.11,11.64,NA,0,17512.73,NA,161.92,56.75,NA,61.68
"45",22.7,0.000295302013422819,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.91,NA,NA,16.02
"46",1e+06,0.000295302013422819,"seagrass",418.68,NA,0,0.11,NA,0.11,11.34,NA,0,17048.07,NA,161.91,56.88,NA,61.68
"47",22.7,0.000308724832214765,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.9,NA,NA,16.02
"48",1e+06,0.000308724832214765,"seagrass",406.31,NA,0,0.11,NA,0.11,11.03,NA,0,16583.77,NA,161.9,57.01,NA,61.68
"49",22.7,0.000322147651006711,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.89,NA,NA,16.02
"50",1e+06,0.000322147651006711,"seagrass",394.01,NA,0,0.11,NA,0.11,10.73,NA,0,16119.84,NA,161.89,57.14,NA,61.68
"51",22.7,0.000335570469798658,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.88,NA,NA,16.02
"52",1e+06,0.000335570469798658,"seagrass",381.77,NA,0,0.11,NA,0.11,10.42,NA,0,15656.27,NA,161.88,57.27,NA,61.68
"53",22.7,0.000348993288590604,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.87,NA,NA,16.02
"54",1e+06,0.000348993288590604,"seagrass",369.59,NA,0,0.11,NA,0.11,10.12,NA,0,15193.07,NA,161.87,57.4,NA,61.68
"55",22.7,0.00036241610738255,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.86,NA,NA,16.02
"56",1e+06,0.00036241610738255,"seagrass",357.47,NA,0,0.11,NA,0.11,9.81,NA,0,14730.23,NA,161.86,57.53,NA,61.68
"57",22.7,0.000375838926174497,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.84,NA,NA,16.02
"58",1e+06,0.000375838926174497,"seagrass",345.4,NA,0,0.11,NA,0.11,9.51,NA,0,14267.75,NA,161.84,57.66,NA,61.68
"59",22.7,0.000389261744966443,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.83,NA,NA,16.02
"60",1e+06,0.000389261744966443,"seagrass",333.4,NA,0,0.11,NA,0.11,9.2,NA,0,13805.64,NA,161.83,57.79,NA,61.68
"61",22.7,0.000402684563758389,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.82,NA,NA,16.02
"62",1e+06,0.000402684563758389,"seagrass",321.45,NA,0,0.11,NA,0.11,8.9,NA,0,13343.89,NA,161.82,57.92,NA,61.68
"63",22.7,0.000416107382550336,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.81,NA,NA,16.02
"64",1e+06,0.000416107382550336,"seagrass",309.57,NA,0,0.11,NA,0.11,8.59,NA,0,12882.51,NA,161.81,58.05,NA,61.68
"65",22.7,0.000429530201342282,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.8,NA,NA,16.02
"66",1e+06,0.000429530201342282,"seagrass",297.74,NA,0,0.11,NA,0.11,8.29,NA,0,12421.49,NA,161.8,58.18,NA,61.68
"67",22.7,0.000442953020134228,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.79,NA,NA,16.02
"68",1e+06,0.000442953020134228,"seagrass",285.97,NA,0,0.11,NA,0.11,7.98,NA,0,11960.83,NA,161.79,58.31,NA,61.68
"69",22.7,0.000456375838926175,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.78,NA,NA,16.02
"70",1e+06,0.000456375838926175,"seagrass",274.25,NA,0,0.11,NA,0.11,7.68,NA,0,11500.54,NA,161.78,58.44,NA,61.68
"71",22.7,0.000469798657718121,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.77,NA,NA,16.02
"72",1e+06,0.000469798657718121,"seagrass",262.59,NA,0,0.11,NA,0.11,7.37,NA,0,11040.62,NA,161.77,58.57,NA,61.68
"73",22.7,0.000483221476510067,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.76,NA,NA,16.02
"74",1e+06,0.000483221476510067,"seagrass",250.99,NA,0,0.11,NA,0.11,7.06,NA,0,10581.06,NA,161.76,58.7,NA,61.68
