"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"36",1e+06,299.437583892617,"seagrass",693.01,NA,0,0.11,NA,0.11,17.63,NA,0,25607.89,NA,153.38,54.17,NA,61.68
"37",22.7,299.472147651007,"bistable",1433.47,391.77,0,0.86,0.71,0.11,11.78,3.61,0,18017.09,6043.84,152.87,14.19,15.78,16.02
"38",1e+06,299.472147651007,"seagrass",691.26,NA,0,0.11,NA,0.11,17.59,NA,0,25474.5,NA,152.87,54.19,NA,61.68
"39",22.7,299.506711409396,"bistable",1429.11,393.18,0,0.86,0.71,0.11,11.75,3.62,0,17918.5,6043.71,152.37,14.19,15.78,16.02
"40",1e+06,299.506711409396,"seagrass",689.41,NA,0,0.11,NA,0.11,17.54,NA,0,25337.67,NA,152.37,54.21,NA,61.68
"41",22.7,299.541275167785,"bistable",1424.48,394.68,0,0.86,0.71,0.11,11.71,3.63,0,17817.28,6044.67,151.88,14.2,15.78,16.02
"42",1e+06,299.541275167785,"seagrass",687.44,NA,0,0.11,NA,0.11,17.49,NA,0,25197.38,NA,151.88,54.23,NA,61.68
"43",22.7,299.575838926175,"bistable",1419.57,396.28,0,0.86,0.71,0.11,11.67,3.65,0,17713.37,6046.77,151.38,14.21,15.78,16.02
"44",1e+06,299.575838926175,"seagrass",685.37,NA,0,0.11,NA,0.11,17.44,NA,0,25053.63,NA,151.38,54.25,NA,61.68
"45",22.7,299.610402684564,"bistable",1414.39,397.98,0,0.86,0.71,0.11,11.63,3.66,0,17606.75,6050.03,150.88,14.22,15.77,16.02
"46",1e+06,299.610402684564,"seagrass",683.18,NA,0,0.11,NA,0.11,17.39,NA,0,24906.41,NA,150.88,54.27,NA,61.68
"47",22.7,299.644966442953,"bistable",1408.91,399.8,0,0.86,0.71,0.11,11.59,3.68,0,17497.37,6054.49,150.39,14.23,15.77,16.02
"48",1e+06,299.644966442953,"seagrass",680.88,NA,0,0.11,NA,0.11,17.33,NA,0,24755.7,NA,150.39,54.3,NA,61.68
"49",22.7,299.679530201342,"bistable",1403.14,401.72,0,0.86,0.71,0.11,11.55,3.69,0,17385.18,6060.18,149.9,14.24,15.77,16.02
"50",1e+06,299.679530201342,"seagrass",678.47,NA,0,0.11,NA,0.11,17.27,NA,0,24601.5,NA,149.9,54.32,NA,61.68
"51",22.7,299.714093959732,"bistable",1397.07,403.76,0,0.86,0.71,0.11,11.5,3.71,0,17270.15,6067.16,149.41,14.25,15.77,16.02
"52",1e+06,299.714093959732,"seagrass",675.94,NA,0,0.11,NA,0.11,17.21,NA,0,24443.79,NA,149.41,54.35,NA,61.68
"53",22.7,299.748657718121,"bistable",1390.7,405.92,0,0.86,0.71,0.11,11.45,3.72,0,17152.21,6075.46,148.92,14.26,15.76,16.02
"54",1e+06,299.748657718121,"seagrass",673.29,NA,0,0.11,NA,0.11,17.14,NA,0,24282.56,NA,148.92,54.38,NA,61.68
"55",22.7,299.78322147651,"bistable",1384.01,408.21,0,0.86,0.71,0.11,11.4,3.74,0,17031.3,6085.13,148.43,14.27,15.76,16.02
"56",1e+06,299.78322147651,"seagrass",670.53,NA,0,0.11,NA,0.11,17.07,NA,0,24117.8,NA,148.43,54.41,NA,61.68
"57",22.7,299.817785234899,"bistable",1376.99,410.63,0,0.86,0.71,0.11,11.35,3.76,0,16907.37,6096.24,147.94,14.28,15.76,16.02
"58",1e+06,299.817785234899,"seagrass",667.64,NA,0,0.11,NA,0.11,17,NA,0,23949.5,NA,147.94,54.44,NA,61.68
"59",22.7,299.852348993289,"bistable",1369.65,413.18,0,0.85,0.71,0.11,11.29,3.78,0,16780.35,6108.84,147.46,14.29,15.75,16.02
"60",1e+06,299.852348993289,"seagrass",664.64,NA,0,0.11,NA,0.11,16.93,NA,0,23777.64,NA,147.46,54.47,NA,61.68
"61",22.7,299.886912751678,"bistable",1361.97,415.89,0,0.85,0.71,0.11,11.23,3.8,0,16650.15,6122.99,146.97,14.3,15.75,16.02
"62",1e+06,299.886912751678,"seagrass",661.51,NA,0,0.11,NA,0.11,16.85,NA,0,23602.21,NA,146.97,54.51,NA,61.68
"63",22.7,299.921476510067,"bistable",1353.93,418.75,0,0.85,0.71,0.11,11.17,3.83,0,16516.71,6138.79,146.49,14.32,15.75,16.02
"64",1e+06,299.921476510067,"seagrass",658.27,NA,0,0.11,NA,0.11,16.77,NA,0,23423.19,NA,146.49,54.54,NA,61.68
"65",22.7,299.956040268456,"bistable",1345.54,421.77,0,0.85,0.71,0.11,11.1,3.85,0,16379.92,6156.29,146.01,14.33,15.74,16.02
"66",1e+06,299.956040268456,"seagrass",654.89,NA,0,0.11,NA,0.11,16.68,NA,0,23240.57,NA,146.01,54.58,NA,61.68
"67",22.7,299.990604026846,"bistable",1336.77,424.96,0,0.85,0.71,0.11,11.04,3.88,0,16239.7,6175.6,145.53,14.34,15.74,16.02
"68",1e+06,299.990604026846,"seagrass",651.39,NA,0,0.11,NA,0.11,16.6,NA,0,23054.34,NA,145.53,54.61,NA,61.68
"69",22.7,300.025167785235,"bistable",1327.61,428.33,0,0.85,0.71,0.11,10.96,3.9,0,16095.92,6196.82,145.06,14.36,15.73,16.02
"70",1e+06,300.025167785235,"seagrass",647.77,NA,0,0.11,NA,0.11,16.51,NA,0,22864.47,NA,145.06,54.65,NA,61.68
"71",22.7,300.059731543624,"bistable",1318.06,431.9,0,0.85,0.71,0.11,10.89,3.93,0,15948.48,6220.05,144.58,14.37,15.73,16.02
"72",1e+06,300.059731543624,"seagrass",644.01,NA,0,0.11,NA,0.11,16.41,NA,0,22670.95,NA,144.58,54.69,NA,61.68
"73",22.7,300.094295302013,"bistable",1308.1,435.67,0,0.85,0.72,0.11,10.81,3.96,0,15797.24,6245.42,144.11,14.39,15.72,16.02
"74",1e+06,300.094295302013,"seagrass",640.13,NA,0,0.11,NA,0.11,16.32,NA,0,22473.77,NA,144.11,54.74,NA,61.68
"75",22.7,300.128859060403,"bistable",1297.7,439.67,0,0.85,0.72,0.11,10.73,3.99,0,15642.05,6273.06,143.63,14.41,15.72,16.02
"76",1e+06,300.128859060403,"seagrass",636.11,NA,0,0.11,NA,0.11,16.22,NA,0,22272.9,NA,143.63,54.78,NA,61.68
"77",22.7,300.163422818792,"bistable",1286.85,443.9,0,0.84,0.72,0.11,10.65,4.03,0,15482.74,6303.14,143.16,14.43,15.71,16.02
"78",1e+06,300.163422818792,"seagrass",631.96,NA,0,0.11,NA,0.11,16.12,NA,0,22068.32,NA,143.16,54.82,NA,61.68
"79",22.7,300.197986577181,"bistable",1275.54,448.39,0,0.84,0.72,0.11,10.56,4.06,0,15319.13,6335.82,142.69,14.44,15.71,16.02
"80",1e+06,300.197986577181,"seagrass",627.68,NA,0,0.11,NA,0.11,16.01,NA,0,21860.02,NA,142.69,54.87,NA,61.68
"81",22.7,300.23255033557,"bistable",1263.73,453.15,0,0.84,0.72,0.11,10.47,4.1,0,15151.02,6371.31,142.22,14.46,15.7,16.02
"82",1e+06,300.23255033557,"seagrass",623.26,NA,0,0.11,NA,0.11,15.9,NA,0,21647.97,NA,142.22,54.92,NA,61.68
"83",22.7,300.26711409396,"bistable",1251.4,458.2,0,0.84,0.72,0.11,10.37,4.14,0,14978.15,6409.82,141.76,14.48,15.69,16.02
"84",1e+06,300.26711409396,"seagrass",618.7,NA,0,0.11,NA,0.11,15.79,NA,0,21432.16,NA,141.76,54.97,NA,61.68
"85",22.7,300.301677852349,"bistable",1238.52,463.59,0,0.84,0.72,0.11,10.27,4.19,0,14800.27,6451.63,141.29,14.5,15.69,16.02
"86",1e+06,300.301677852349,"seagrass",614.01,NA,0,0.11,NA,0.11,15.67,NA,0,21212.56,NA,141.29,55.02,NA,61.68
"87",22.7,300.336241610738,"bistable",1225.07,469.32,0,0.84,0.72,0.11,10.17,4.23,0,14617.05,6497.02,140.83,14.52,15.68,16.02
"88",1e+06,300.336241610738,"seagrass",609.17,NA,0,0.11,NA,0.11,15.55,NA,0,20989.14,NA,140.83,55.07,NA,61.68
"89",22.7,300.370805369128,"bistable",1210.99,475.45,0,0.84,0.73,0.11,10.06,4.28,0,14428.14,6546.35,140.37,14.55,15.67,16.02
"90",1e+06,300.370805369128,"seagrass",604.19,NA,0,0.11,NA,0.11,15.42,NA,0,20761.9,NA,140.37,55.12,NA,61.68
"91",22.7,300.405369127517,"bistable",1196.26,482,0,0.83,0.73,0.11,9.95,4.33,0,14233.11,6600.04,139.9,14.57,15.66,16.02
"92",1e+06,300.405369127517,"seagrass",599.06,NA,0,0.11,NA,0.11,15.3,NA,0,20530.79,NA,139.9,55.18,NA,61.68
"93",22.7,300.439932885906,"bistable",1180.81,489.04,0,0.83,0.73,0.11,9.83,4.39,0,14031.47,6658.55,139.45,14.6,15.65,16.02
"94",1e+06,300.439932885906,"seagrass",593.79,NA,0,0.11,NA,0.11,15.17,NA,0,20295.81,NA,139.45,55.23,NA,61.68
"95",22.7,300.474496644295,"bistable",1164.58,496.62,0,0.83,0.73,0.11,9.7,4.45,0,13822.61,6722.49,138.99,14.62,15.64,16.02
"96",1e+06,300.474496644295,"seagrass",588.37,NA,0,0.11,NA,0.11,15.03,NA,0,20056.91,NA,138.99,55.29,NA,61.68
"97",22.7,300.509060402685,"bistable",1147.5,504.8,0,0.83,0.73,0.11,9.57,4.51,0,13605.8,6792.55,138.53,14.65,15.63,16.02
"98",1e+06,300.509060402685,"seagrass",582.79,NA,0,0.11,NA,0.11,14.89,NA,0,19814.08,NA,138.53,55.35,NA,61.68
"99",22.7,300.543624161074,"bistable",1129.47,513.68,0,0.83,0.73,0.11,9.43,4.59,0,13380.17,6869.63,138.07,14.68,15.62,16.02
"100",1e+06,300.543624161074,"seagrass",577.07,NA,0,0.11,NA,0.11,14.75,NA,0,19567.29,NA,138.07,55.41,NA,61.68
"101",22.7,300.578187919463,"bistable",1110.4,523.38,0,0.83,0.74,0.11,9.28,4.66,0,13144.58,6954.82,137.62,14.71,15.61,16.02
"102",1e+06,300.578187919463,"seagrass",571.19,NA,0,0.11,NA,0.11,14.6,NA,0,19316.51,NA,137.62,55.48,NA,61.68
"103",22.7,300.612751677852,"bistable",1090.12,534.02,0,0.82,0.74,0.11,9.12,4.75,0,12897.58,7049.55,137.17,14.74,15.59,16.02
"104",1e+06,300.612751677852,"seagrass",565.16,NA,0,0.11,NA,0.11,14.45,NA,0,19061.71,NA,137.17,55.54,NA,61.68
"105",22.7,300.647315436242,"bistable",1068.45,545.8,0,0.82,0.74,0.11,8.95,4.84,0,12637.26,7155.73,136.72,14.78,15.57,16.02
"106",1e+06,300.647315436242,"seagrass",558.97,NA,0,0.11,NA,0.11,14.3,NA,0,18802.86,NA,136.72,55.61,NA,61.68
"107",22.7,300.681879194631,"bistable",1045.12,558.97,0,0.82,0.75,0.11,8.77,4.95,0,12361.01,7275.96,136.27,14.81,15.55,16.02
"108",1e+06,300.681879194631,"seagrass",552.62,NA,0,0.11,NA,0.11,14.14,NA,0,18539.93,NA,136.27,55.68,NA,61.68
"109",22.7,300.71644295302,"bistable",1019.77,573.92,0,0.82,0.75,0.11,8.57,5.06,0,12065.04,7413.99,135.82,14.85,15.53,16.02
"110",1e+06,300.71644295302,"seagrass",546.1,NA,0,0.11,NA,0.11,13.98,NA,0,18272.89,NA,135.82,55.75,NA,61.68
"111",22.7,300.751006711409,"bistable",991.81,591.2,0,0.81,0.75,0.11,8.35,5.2,0,11743.58,7575.6,135.37,14.9,15.51,16.02
"112",1e+06,300.751006711409,"seagrass",539.43,NA,0,0.11,NA,0.11,13.81,NA,0,18001.71,NA,135.37,55.82,NA,61.68
"113",22.7,300.785570469799,"bistable",960.3,611.77,0,0.81,0.76,0.11,8.11,5.36,0,11386.88,7770.49,134.93,14.95,15.48,16.02
"114",1e+06,300.785570469799,"seagrass",532.58,NA,0,0.11,NA,0.11,13.64,NA,0,17726.35,NA,134.93,55.89,NA,61.68
"115",22.7,300.820134228188,"bistable",923.36,637.48,0,0.8,0.76,0.11,7.82,5.57,0,10976.03,8017.57,134.48,15,15.44,16.02
"116",1e+06,300.820134228188,"seagrass",525.57,NA,0,0.11,NA,0.11,13.46,NA,0,17446.77,NA,134.48,55.97,NA,61.68
"117",22.7,300.854697986577,"bistable",876.25,673.1,0,0.8,0.77,0.11,7.45,5.85,0,10462.23,8365.61,134.04,15.08,15.39,16.02
"118",1e+06,300.854697986577,"seagrass",518.38,NA,0,0.11,NA,0.11,13.28,NA,0,17162.96,NA,134.04,56.04,NA,61.68
"119",22.7,300.889261744966,"bistable",773.59,763.99,0,0.78,0.78,0.11,6.64,6.57,0,9379.45,9280.62,133.6,15.24,15.25,16.02
"120",1e+06,300.889261744966,"seagrass",511.03,NA,0,0.11,NA,0.11,13.1,NA,0,16874.85,NA,133.6,56.12,NA,61.68
"121",22.7,300.923825503356,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,133.16,NA,NA,16.02
"122",1e+06,300.923825503356,"seagrass",503.49,NA,0,0.11,NA,0.11,12.91,NA,0,16582.43,NA,133.16,56.2,NA,61.68
"123",22.7,300.958389261745,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,132.72,NA,NA,16.02
"124",1e+06,300.958389261745,"seagrass",495.78,NA,0,0.11,NA,0.11,12.71,NA,0,16285.65,NA,132.72,56.29,NA,61.68
