"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0,"seagrass",707,NA,0,0.91,NA,0.29,5.8,NA,0,9917.9,NA,426.87,0.01,NA,0.67
"2",1e+06,0,"seagrass",707,NA,0,0.29,NA,0.29,10.39,NA,0,15900.99,NA,426.87,0.03,NA,2.97
"3",22.7,4.02684563758389e-05,"seagrass",624.81,NA,0,0.9,NA,0.29,5.15,NA,0,8934.74,NA,426.79,0.01,NA,0.67
"4",1e+06,4.02684563758389e-05,"seagrass",672.6,NA,0,0.29,NA,0.29,9.89,NA,0,15144.22,NA,426.79,0.03,NA,2.97
"5",22.7,8.05369127516779e-05,"seagrass",559.06,NA,0,0.9,NA,0.29,4.63,NA,0,8145.92,NA,426.7,0.01,NA,0.67
"6",1e+06,8.05369127516779e-05,"seagrass",641.36,NA,0,0.29,NA,0.29,9.44,NA,0,14456.8,NA,426.7,0.04,NA,2.97
"7",22.7,0.000120805369127517,"seagrass",505.27,NA,0,0.89,NA,0.29,4.21,NA,0,7498.57,NA,426.61,0.01,NA,0.67
"8",1e+06,0.000120805369127517,"seagrass",612.84,NA,0,0.29,NA,0.29,9.03,NA,0,13829.47,NA,426.61,0.04,NA,2.97
"9",22.7,0.000161073825503356,"seagrass",460.46,NA,0,0.88,NA,0.29,3.85,NA,0,6957.4,NA,426.53,0.01,NA,0.67
"10",1e+06,0.000161073825503356,"seagrass",586.7,NA,0,0.29,NA,0.29,8.65,NA,0,13254.54,NA,426.53,0.04,NA,2.97
"11",22.7,0.000201342281879195,"seagrass",422.56,NA,0,0.88,NA,0.29,3.55,NA,0,6497.97,NA,426.44,0.01,NA,0.67
"12",1e+06,0.000201342281879195,"seagrass",562.65,NA,0,0.29,NA,0.29,8.3,NA,0,12725.58,NA,426.44,0.04,NA,2.97
"13",22.7,0.000241610738255034,"seagrass",390.09,NA,0,0.87,NA,0.29,3.29,NA,0,6102.81,NA,426.36,0.01,NA,0.67
"14",1e+06,0.000241610738255034,"seagrass",540.44,NA,0,0.29,NA,0.29,7.98,NA,0,12237.13,NA,426.36,0.04,NA,2.97
"15",22.7,0.000281879194630873,"seagrass",361.97,NA,0,0.86,NA,0.29,3.06,NA,0,5759.11,NA,426.27,0.01,NA,0.67
"16",1e+06,0.000281879194630873,"seagrass",519.86,NA,0,0.29,NA,0.29,7.68,NA,0,11784.56,NA,426.27,0.05,NA,2.97
"17",22.7,0.000322147651006711,"seagrass",337.37,NA,0,0.86,NA,0.29,2.87,NA,0,5457.23,NA,426.18,0.01,NA,0.67
"18",1e+06,0.000322147651006711,"seagrass",500.73,NA,0,0.29,NA,0.29,7.4,NA,0,11363.91,NA,426.18,0.05,NA,2.97
"19",22.7,0.00036241610738255,"seagrass",315.68,NA,0,0.85,NA,0.29,2.69,NA,0,5189.84,NA,426.1,0.01,NA,0.67
"20",1e+06,0.00036241610738255,"seagrass",482.9,NA,0,0.29,NA,0.29,7.14,NA,0,10971.73,NA,426.1,0.05,NA,2.97
"21",22.7,0.000402684563758389,"seagrass",296.42,NA,0,0.85,NA,0.29,2.54,NA,0,4951.19,NA,426.01,0.01,NA,0.67
"22",1e+06,0.000402684563758389,"seagrass",466.22,NA,0,0.29,NA,0.29,6.9,NA,0,10605.04,NA,426.01,0.05,NA,2.97
"23",22.7,0.000442953020134228,"seagrass",279.19,NA,0,0.84,NA,0.29,2.4,NA,0,4736.76,NA,425.93,0.01,NA,0.67
"24",1e+06,0.000442953020134228,"seagrass",450.58,NA,0,0.29,NA,0.29,6.67,NA,0,10261.22,NA,425.93,0.06,NA,2.97
"25",22.7,0.000483221476510067,"seagrass",263.7,NA,0,0.83,NA,0.29,2.27,NA,0,4542.95,NA,425.84,0.01,NA,0.67
"26",1e+06,0.000483221476510067,"seagrass",435.87,NA,0,0.29,NA,0.29,6.45,NA,0,9937.98,NA,425.84,0.06,NA,2.97
"27",22.7,0.000523489932885906,"seagrass",249.69,NA,0,0.83,NA,0.29,2.16,NA,0,4366.8,NA,425.75,0.01,NA,0.67
"28",1e+06,0.000523489932885906,"seagrass",422.01,NA,0,0.29,NA,0.29,6.25,NA,0,9633.25,NA,425.75,0.07,NA,2.97
"29",22.7,0.000563758389261745,"seagrass",236.97,NA,0,0.82,NA,0.29,2.06,NA,0,4205.93,NA,425.67,0.02,NA,0.67
"30",1e+06,0.000563758389261745,"seagrass",408.9,NA,0,0.29,NA,0.29,6.06,NA,0,9345.18,NA,425.67,0.07,NA,2.97
"31",22.7,0.000604026845637584,"seagrass",225.36,NA,0,0.81,NA,0.29,1.96,NA,0,4058.35,NA,425.58,0.02,NA,0.67
"32",1e+06,0.000604026845637584,"seagrass",396.48,NA,0,0.29,NA,0.29,5.88,NA,0,9072.1,NA,425.58,0.07,NA,2.97
"33",22.7,0.000644295302013423,"seagrass",214.72,NA,0,0.81,NA,0.29,1.88,NA,0,3922.4,NA,425.5,0.02,NA,0.67
"34",1e+06,0.000644295302013423,"seagrass",384.66,NA,0,0.29,NA,0.29,5.7,NA,0,8812.47,NA,425.5,0.08,NA,2.97
"35",22.7,0.000684563758389262,"seagrass",204.94,NA,0,0.8,NA,0.29,1.8,NA,0,3796.7,NA,425.41,0.02,NA,0.67
"36",1e+06,0.000684563758389262,"seagrass",373.39,NA,0,0.29,NA,0.29,5.54,NA,0,8564.81,NA,425.41,0.09,NA,2.97
"37",22.7,0.000724832214765101,"seagrass",195.92,NA,0,0.8,NA,0.29,1.73,NA,0,3680.06,NA,425.32,0.02,NA,0.67
"38",1e+06,0.000724832214765101,"seagrass",362.6,NA,0,0.29,NA,0.29,5.38,NA,0,8327.73,NA,425.32,0.09,NA,2.97
"39",22.7,0.00076510067114094,"seagrass",187.58,NA,0,0.79,NA,0.29,1.66,NA,0,3571.48,NA,425.24,0.02,NA,0.67
"40",1e+06,0.00076510067114094,"seagrass",352.22,NA,0,0.29,NA,0.29,5.23,NA,0,8099.84,NA,425.24,0.1,NA,2.97
"41",22.7,0.000805369127516779,"seagrass",179.83,NA,0,0.78,NA,0.29,1.6,NA,0,3470.09,NA,425.15,0.02,NA,0.67
"42",1e+06,0.000805369127516779,"seagrass",342.2,NA,0,0.29,NA,0.29,5.08,NA,0,7879.7,NA,425.15,0.11,NA,2.97
"43",22.7,0.000845637583892618,"seagrass",172.62,NA,0,0.78,NA,0.29,1.54,NA,0,3375.15,NA,425.07,0.02,NA,0.67
"44",1e+06,0.000845637583892618,"seagrass",332.46,NA,0,0.29,NA,0.29,4.94,NA,0,7665.75,NA,425.07,0.12,NA,2.97
"45",22.7,0.000885906040268456,"seagrass",165.89,NA,0,0.77,NA,0.29,1.48,NA,0,3286.01,NA,424.98,0.02,NA,0.67
"46",1e+06,0.000885906040268456,"seagrass",322.91,NA,0,0.29,NA,0.29,4.8,NA,0,7456.17,NA,424.98,0.14,NA,2.97
"47",22.7,0.000926174496644295,"seagrass",159.59,NA,0,0.77,NA,0.29,1.43,NA,0,3202.11,NA,424.89,0.02,NA,0.67
"48",1e+06,0.000926174496644295,"seagrass",313.45,NA,0,0.29,NA,0.29,4.66,NA,0,7248.74,NA,424.89,0.16,NA,2.97
"49",22.7,0.000966442953020134,"seagrass",153.69,NA,0,0.76,NA,0.29,1.38,NA,0,3122.94,NA,424.81,0.02,NA,0.67
"50",1e+06,0.000966442953020134,"seagrass",303.96,NA,0,0.29,NA,0.29,4.52,NA,0,7040.47,NA,424.81,0.18,NA,2.97
"51",22.7,0.00100671140939597,"seagrass",148.14,NA,0,0.76,NA,0.29,1.34,NA,0,3048.07,NA,424.72,0.03,NA,0.67
"52",1e+06,0.00100671140939597,"seagrass",294.22,NA,0,0.29,NA,0.29,4.37,NA,0,6827.05,NA,424.72,0.21,NA,2.97
"53",22.7,0.00104697986577181,"seagrass",142.92,NA,0,0.75,NA,0.29,1.3,NA,0,2977.1,NA,424.64,0.03,NA,0.67
"54",1e+06,0.00104697986577181,"seagrass",283.93,NA,0,0.29,NA,0.29,4.22,NA,0,6601.63,NA,424.64,0.24,NA,2.97
"55",22.7,0.00108724832214765,"seagrass",137.99,NA,0,0.75,NA,0.29,1.26,NA,0,2909.7,NA,424.55,0.03,NA,0.67
"56",1e+06,0.00108724832214765,"seagrass",272.53,NA,0,0.29,NA,0.29,4.05,NA,0,6352.23,NA,424.55,0.29,NA,2.97
"57",22.7,0.00112751677852349,"seagrass",133.33,NA,0,0.74,NA,0.29,1.22,NA,0,2845.54,NA,424.47,0.03,NA,0.67
"58",1e+06,0.00112751677852349,"seagrass",258.93,NA,0,0.29,NA,0.29,3.85,NA,0,6055.12,NA,424.47,0.37,NA,2.97
"59",22.7,0.00116778523489933,"seagrass",128.91,NA,0,0.73,NA,0.29,1.18,NA,0,2784.34,NA,424.38,0.03,NA,0.67
"60",1e+06,0.00116778523489933,"seagrass",240.57,NA,0,0.29,NA,0.29,3.58,NA,0,5654.45,NA,424.38,0.51,NA,2.97
"61",22.7,0.00120805369127517,"bistable",124.72,0.22,0,0.73,0.29,0.29,1.15,0,0,2725.85,432.06,424.3,0.03,0.67,0.67
"62",1e+06,0.00120805369127517,"seagrass",209.51,NA,0,0.29,NA,0.29,3.12,NA,0,4977.95,NA,424.3,0.78,NA,2.97
"63",22.7,0.00124832214765101,"bistable",120.73,0.91,0,0.72,0.3,0.29,1.11,0.01,0,2669.83,456.01,424.21,0.04,0.66,0.67
"64",1e+06,0.00124832214765101,"seagrass",122.68,NA,0,0.29,NA,0.29,1.83,NA,0,3089.75,NA,424.21,1.66,NA,2.97
"65",22.7,0.00128859060402685,"bistable",116.92,1.64,0,0.72,0.31,0.29,1.08,0.02,0,2616.06,480.91,424.13,0.04,0.66,0.67
"66",1e+06,0.00128859060402685,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,424.13,NA,NA,2.97
"67",22.7,0.00132885906040268,"bistable",113.29,2.42,0,0.71,0.32,0.29,1.05,0.03,0,2564.34,506.83,424.04,0.04,0.66,0.67
"68",1e+06,0.00132885906040268,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,424.04,NA,NA,2.97
"69",22.7,0.00136912751677852,"bistable",109.81,3.25,0,0.71,0.32,0.29,1.02,0.05,0,2514.48,533.87,423.95,0.04,0.66,0.67
"70",1e+06,0.00136912751677852,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.95,NA,NA,2.97
"71",22.7,0.00140939597315436,"bistable",106.47,4.15,0,0.7,0.33,0.29,1,0.06,0,2466.29,562.13,423.87,0.04,0.65,0.67
"72",1e+06,0.00140939597315436,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.87,NA,NA,2.97
"73",22.7,0.0014496644295302,"bistable",103.25,5.1,0,0.7,0.34,0.29,0.97,0.07,0,2419.6,591.73,423.78,0.05,0.65,0.67
"74",1e+06,0.0014496644295302,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.78,NA,NA,2.97
"75",22.7,0.00148993288590604,"bistable",100.15,6.14,0,0.69,0.35,0.29,0.94,0.08,0,2374.23,622.81,423.7,0.05,0.65,0.67
"76",1e+06,0.00148993288590604,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.7,NA,NA,2.97
"77",22.7,0.00153020134228188,"bistable",97.15,7.25,0,0.69,0.36,0.29,0.92,0.1,0,2329.99,655.53,423.61,0.05,0.64,0.67
"78",1e+06,0.00153020134228188,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.61,NA,NA,2.97
"79",22.7,0.00157046979865772,"bistable",94.23,8.46,0,0.68,0.37,0.29,0.89,0.11,0,2286.69,690.09,423.53,0.06,0.63,0.67
"80",1e+06,0.00157046979865772,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.53,NA,NA,2.97
"81",22.7,0.00161073825503356,"bistable",91.39,9.78,0,0.68,0.38,0.29,0.87,0.13,0,2244.14,726.72,423.44,0.06,0.63,0.67
"82",1e+06,0.00161073825503356,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.44,NA,NA,2.97
"83",22.7,0.0016510067114094,"bistable",88.59,11.22,0,0.67,0.39,0.29,0.85,0.14,0,2202.09,765.69,423.36,0.07,0.62,0.67
"84",1e+06,0.0016510067114094,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.36,NA,NA,2.97
"85",22.7,0.00169127516778524,"bistable",85.84,12.81,0,0.67,0.4,0.29,0.82,0.16,0,2160.28,807.36,423.27,0.07,0.61,0.67
"86",1e+06,0.00169127516778524,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.27,NA,NA,2.97
"87",22.7,0.00173154362416107,"bistable",83.1,14.56,0,0.66,0.41,0.29,0.8,0.18,0,2118.36,852.15,423.19,0.08,0.6,0.67
"88",1e+06,0.00173154362416107,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.19,NA,NA,2.97
"89",22.7,0.00177181208053691,"bistable",80.35,16.52,0,0.66,0.42,0.29,0.78,0.2,0,2075.91,900.63,423.1,0.09,0.58,0.67
"90",1e+06,0.00177181208053691,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.1,NA,NA,2.97
"91",22.7,0.00181208053691275,"bistable",77.54,18.74,0,0.65,0.44,0.29,0.75,0.22,0,2032.33,953.58,423.02,0.1,0.56,0.67
"92",1e+06,0.00181208053691275,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,423.02,NA,NA,2.97
"93",22.7,0.00185234899328859,"bistable",74.64,21.27,0,0.64,0.45,0.29,0.73,0.25,0,1986.75,1012.06,422.93,0.11,0.54,0.67
"94",1e+06,0.00185234899328859,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.93,NA,NA,2.97
"95",22.7,0.00189261744966443,"bistable",71.55,24.21,0,0.64,0.47,0.29,0.7,0.28,0,1937.78,1077.75,422.85,0.12,0.52,0.67
"96",1e+06,0.00189261744966443,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.85,NA,NA,2.97
"97",22.7,0.00193288590604027,"bistable",68.13,27.74,0,0.63,0.48,0.29,0.67,0.31,0,1882.92,1153.46,422.76,0.14,0.49,0.67
"98",1e+06,0.00193288590604027,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.76,NA,NA,2.97
"99",22.7,0.00197315436241611,"bistable",64.07,32.19,0,0.62,0.51,0.29,0.64,0.36,0,1816.8,1244.99,422.68,0.16,0.45,0.67
"100",1e+06,0.00197315436241611,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.68,NA,NA,2.97
"101",22.7,0.00201342281879195,"bistable",58.37,38.6,0,0.6,0.53,0.29,0.59,0.42,0,1722.12,1370.14,422.59,0.2,0.39,0.67
"102",1e+06,0.00201342281879195,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.59,NA,NA,2.97
"103",22.7,0.00205369127516779,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.51,NA,NA,0.67
"104",1e+06,0.00205369127516779,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.51,NA,NA,2.97
"105",22.7,0.00209395973154362,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.43,NA,NA,0.67
"106",1e+06,0.00209395973154362,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.43,NA,NA,2.97
"107",22.7,0.00213422818791946,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.34,NA,NA,0.67
"108",1e+06,0.00213422818791946,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.34,NA,NA,2.97
"109",22.7,0.0021744966442953,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.26,NA,NA,0.67
"110",1e+06,0.0021744966442953,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.26,NA,NA,2.97
"111",22.7,0.00221476510067114,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.17,NA,NA,0.67
"112",1e+06,0.00221476510067114,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.17,NA,NA,2.97
"113",22.7,0.00225503355704698,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.09,NA,NA,0.67
"114",1e+06,0.00225503355704698,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422.09,NA,NA,2.97
"115",22.7,0.00229530201342282,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422,NA,NA,0.67
"116",1e+06,0.00229530201342282,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,422,NA,NA,2.97
"117",22.7,0.00233557046979866,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.92,NA,NA,0.67
"118",1e+06,0.00233557046979866,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.92,NA,NA,2.97
"119",22.7,0.0023758389261745,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.83,NA,NA,0.67
"120",1e+06,0.0023758389261745,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.83,NA,NA,2.97
"121",22.7,0.00241610738255034,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.75,NA,NA,0.67
"122",1e+06,0.00241610738255034,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.75,NA,NA,2.97
"123",22.7,0.00245637583892617,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.67,NA,NA,0.67
"124",1e+06,0.00245637583892617,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.67,NA,NA,2.97
"125",22.7,0.00249664429530201,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.58,NA,NA,0.67
"126",1e+06,0.00249664429530201,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.58,NA,NA,2.97
"127",22.7,0.00253691275167785,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.5,NA,NA,0.67
"128",1e+06,0.00253691275167785,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.5,NA,NA,2.97
"129",22.7,0.00257718120805369,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,421.41,NA,NA,0.67
