"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0.5,"seagrass",707,NA,0,0.91,NA,0.29,5.8,NA,0,9917.9,NA,426.87,0.01,NA,0.67
"2",1e+06,0.5,"seagrass",707,NA,0,0.29,NA,0.29,10.39,NA,0,15900.99,NA,426.87,0.03,NA,2.97
"3",22.7,0.530201342281879,"seagrass",738.37,NA,0,0.97,NA,0.31,6.05,NA,0,10373.48,NA,452.66,0.01,NA,0.68
"4",1e+06,0.530201342281879,"seagrass",709.35,NA,0,0.31,NA,0.31,10.42,NA,0,15978.51,NA,452.66,0.04,NA,2.99
"5",22.7,0.560402684563758,"seagrass",769.73,NA,0,1.03,NA,0.33,6.3,NA,0,10829.01,NA,478.45,0.01,NA,0.7
"6",1e+06,0.560402684563758,"seagrass",710.98,NA,0,0.32,NA,0.33,10.44,NA,0,16040.26,NA,478.45,0.05,NA,3
"7",22.7,0.590604026845638,"seagrass",801.06,NA,0,1.08,NA,0.35,6.54,NA,0,11284.21,NA,504.24,0.01,NA,0.71
"8",1e+06,0.590604026845638,"seagrass",711.27,NA,0,0.34,NA,0.35,10.45,NA,0,16072.65,NA,504.24,0.06,NA,3.02
"9",22.7,0.620805369127517,"seagrass",832.31,NA,0,1.14,NA,0.36,6.79,NA,0,11738.75,NA,530.03,0.01,NA,0.73
"10",1e+06,0.620805369127517,"seagrass",708.61,NA,0,0.36,NA,0.36,10.41,NA,0,16040.22,NA,530.03,0.09,NA,3.04
"11",22.7,0.651006711409396,"seagrass",863.47,NA,0,1.2,NA,0.38,7.03,NA,0,12192.24,NA,555.83,0.01,NA,0.75
"12",1e+06,0.651006711409396,"seagrass",697.01,NA,0,0.38,NA,0.38,10.24,NA,0,15812.1,NA,555.83,0.16,NA,3.05
"13",22.7,0.681208053691275,"seagrass",894.49,NA,0,1.25,NA,0.4,7.27,NA,0,12644.15,NA,581.62,0.01,NA,0.76
"14",1e+06,0.681208053691275,"seagrass",621.26,NA,0,0.39,NA,0.4,9.15,NA,0,14178.25,NA,581.62,0.49,NA,3.07
"15",22.7,0.711409395973154,"bistable",925.31,2.53,0,1.31,0.45,0.42,7.51,0.04,0,13093.75,708.93,607.41,0.02,0.8,0.78
"16",1e+06,0.711409395973154,"bare",NA,NA,0,NA,NA,0.42,NA,NA,0,NA,NA,607.41,NA,NA,3.09
"17",22.7,0.741610738255034,"bistable",955.84,6.29,0,1.37,0.52,0.43,7.75,0.09,0,13539.98,877.45,633.2,0.02,0.85,0.8
"18",1e+06,0.741610738255034,"bare",NA,NA,0,NA,NA,0.43,NA,NA,0,NA,NA,633.2,NA,NA,3.1
"19",22.7,0.771812080536913,"bistable",985.94,11.1,0,1.43,0.59,0.45,7.99,0.14,0,13981.27,1074.07,659,0.02,0.91,0.81
"20",1e+06,0.771812080536913,"bare",NA,NA,0,NA,NA,0.45,NA,NA,0,NA,NA,659,NA,NA,3.12
"21",22.7,0.802013422818792,"bistable",1015.41,17.46,0,1.48,0.69,0.47,8.21,0.21,0,14415.01,1308.18,684.79,0.03,0.97,0.83
"22",1e+06,0.802013422818792,"bare",NA,NA,0,NA,NA,0.47,NA,NA,0,NA,NA,684.79,NA,NA,3.13
"23",22.7,0.832214765100671,"bistable",1043.85,26.23,0,1.54,0.79,0.49,8.44,0.3,0,14836.71,1594.54,710.59,0.03,1.05,0.84
"24",1e+06,0.832214765100671,"bare",NA,NA,0,NA,NA,0.49,NA,NA,0,NA,NA,710.59,NA,NA,3.15
"25",22.7,0.86241610738255,"bistable",1070.54,39.03,0,1.6,0.92,0.51,8.64,0.42,0,15237.63,1958.59,736.38,0.04,1.15,0.86
"26",1e+06,0.86241610738255,"bare",NA,NA,0,NA,NA,0.51,NA,NA,0,NA,NA,736.38,NA,NA,3.17
"27",22.7,0.89261744966443,"bistable",1093.86,59.41,0,1.65,1.08,0.52,8.82,0.6,0,15598.43,2450.58,762.18,0.06,1.25,0.88
"28",1e+06,0.89261744966443,"bare",NA,NA,0,NA,NA,0.52,NA,NA,0,NA,NA,762.18,NA,NA,3.18
"29",22.7,0.922818791946309,"bistable",1109.29,96.82,0,1.71,1.27,0.54,8.94,0.91,0,15865.54,3193.77,787.97,0.08,1.36,0.89
"30",1e+06,0.922818791946309,"bare",NA,NA,0,NA,NA,0.54,NA,NA,0,NA,NA,787.97,NA,NA,3.2
"31",22.7,0.953020134228188,"bistable",1097.82,188.05,0,1.77,1.5,0.56,8.85,1.66,0,15812.54,4640.43,813.77,0.15,1.42,0.91
"32",1e+06,0.953020134228188,"bare",NA,NA,0,NA,NA,0.56,NA,NA,0,NA,NA,813.77,NA,NA,3.21
"33",22.7,0.983221476510067,"bare",NA,NA,0,NA,NA,0.58,NA,NA,0,NA,NA,839.57,NA,NA,0.93
"34",1e+06,0.983221476510067,"bare",NA,NA,0,NA,NA,0.58,NA,NA,0,NA,NA,839.57,NA,NA,3.23
"35",22.7,1.01342281879195,"bare",NA,NA,0,NA,NA,0.59,NA,NA,0,NA,NA,865.37,NA,NA,0.94
"36",1e+06,1.01342281879195,"bare",NA,NA,0,NA,NA,0.59,NA,NA,0,NA,NA,865.37,NA,NA,3.25
"37",22.7,1.04362416107383,"bare",NA,NA,0,NA,NA,0.61,NA,NA,0,NA,NA,891.16,NA,NA,0.96
"38",1e+06,1.04362416107383,"bare",NA,NA,0,NA,NA,0.61,NA,NA,0,NA,NA,891.16,NA,NA,3.26
"39",22.7,1.0738255033557,"bare",NA,NA,0,NA,NA,0.63,NA,NA,0,NA,NA,916.96,NA,NA,0.97
"40",1e+06,1.0738255033557,"bare",NA,NA,0,NA,NA,0.63,NA,NA,0,NA,NA,916.96,NA,NA,3.28
"41",22.7,1.10402684563758,"bare",NA,NA,0,NA,NA,0.65,NA,NA,0,NA,NA,942.76,NA,NA,0.99
"42",1e+06,1.10402684563758,"bare",NA,NA,0,NA,NA,0.65,NA,NA,0,NA,NA,942.76,NA,NA,3.3
"43",22.7,1.13422818791946,"bare",NA,NA,0,NA,NA,0.66,NA,NA,0,NA,NA,968.56,NA,NA,1.01
"44",1e+06,1.13422818791946,"bare",NA,NA,0,NA,NA,0.66,NA,NA,0,NA,NA,968.56,NA,NA,3.31
"45",22.7,1.16442953020134,"bare",NA,NA,0,NA,NA,0.68,NA,NA,0,NA,NA,994.36,NA,NA,1.02
"46",1e+06,1.16442953020134,"bare",NA,NA,0,NA,NA,0.68,NA,NA,0,NA,NA,994.36,NA,NA,3.33
"47",22.7,1.19463087248322,"bare",NA,NA,0,NA,NA,0.7,NA,NA,0,NA,NA,1020.17,NA,NA,1.04
"48",1e+06,1.19463087248322,"bare",NA,NA,0,NA,NA,0.7,NA,NA,0,NA,NA,1020.17,NA,NA,3.34
