"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"43",22.7,0.000281879194630873,"seagrass",528.65,NA,0,0.82,NA,0.16,4.55,NA,0,7904.32,NA,239.65,0.01,NA,1.15
"44",100,0.000281879194630873,"seagrass",343.3,NA,0,0.48,NA,0.16,3.86,NA,0,6370.13,NA,239.65,0.01,NA,1.15
"45",500,0.000281879194630873,"seagrass",163.22,NA,0,0.21,NA,0.16,2.94,NA,0,4618.86,NA,239.65,0.03,NA,1.15
"46",1000,0.000281879194630873,"seagrass",143.37,NA,0,0.19,NA,0.16,2.79,NA,0,4353.3,NA,239.65,0.03,NA,1.15
"47",6000,0.000281879194630873,"seagrass",128.84,NA,0,0.17,NA,0.16,2.66,NA,0,4136.62,NA,239.65,0.04,NA,1.15
"48",10000,0.000281879194630873,"seagrass",127.76,NA,0,0.17,NA,0.16,2.65,NA,0,4119.44,NA,239.65,0.04,NA,1.15
"49",22.7,0.000322147651006711,"seagrass",493.2,NA,0,0.82,NA,0.16,4.27,NA,0,7470.89,NA,239.6,0.01,NA,1.15
"50",100,0.000322147651006711,"seagrass",319.18,NA,0,0.47,NA,0.16,3.65,NA,0,6033.85,NA,239.6,0.01,NA,1.15
"51",500,0.000322147651006711,"seagrass",157.31,NA,0,0.21,NA,0.16,2.85,NA,0,4477.9,NA,239.6,0.03,NA,1.15
"52",1000,0.000322147651006711,"seagrass",139.07,NA,0,0.18,NA,0.16,2.71,NA,0,4236.83,NA,239.6,0.03,NA,1.15
"53",6000,0.000322147651006711,"seagrass",125.55,NA,0,0.17,NA,0.16,2.59,NA,0,4037.09,NA,239.6,0.04,NA,1.15
"54",10000,0.000322147651006711,"seagrass",124.53,NA,0,0.17,NA,0.16,2.58,NA,0,4021.12,NA,239.6,0.05,NA,1.15
"55",22.7,0.00036241610738255,"seagrass",461.96,NA,0,0.81,NA,0.16,4.02,NA,0,7087.36,NA,239.55,0.01,NA,1.15
"56",100,0.00036241610738255,"seagrass",298.16,NA,0,0.45,NA,0.16,3.46,NA,0,5736.99,NA,239.55,0.01,NA,1.15
"57",500,0.00036241610738255,"seagrass",151.85,NA,0,0.21,NA,0.16,2.76,NA,0,4346.58,NA,239.55,0.03,NA,1.15
"58",1000,0.00036241610738255,"seagrass",135.03,NA,0,0.18,NA,0.16,2.64,NA,0,4126.77,NA,239.55,0.04,NA,1.15
"59",6000,0.00036241610738255,"seagrass",122.4,NA,0,0.17,NA,0.16,2.53,NA,0,3941.99,NA,239.55,0.05,NA,1.15
"60",10000,0.00036241610738255,"seagrass",121.44,NA,0,0.17,NA,0.16,2.52,NA,0,3927.1,NA,239.55,0.05,NA,1.15
"61",22.7,0.000402684563758389,"seagrass",434.22,NA,0,0.8,NA,0.16,3.8,NA,0,6745.45,NA,239.5,0.01,NA,1.15
"62",100,0.000402684563758389,"seagrass",279.7,NA,0,0.44,NA,0.16,3.29,NA,0,5472.85,NA,239.5,0.01,NA,1.15
"63",500,0.000402684563758389,"seagrass",146.77,NA,0,0.21,NA,0.16,2.68,NA,0,4223.81,NA,239.5,0.03,NA,1.15
"64",1000,0.000402684563758389,"seagrass",131.21,NA,0,0.18,NA,0.16,2.57,NA,0,4022.53,NA,239.5,0.04,NA,1.15
