"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"44",100,299.286912751678,"seagrass",705.45,NA,0,0.62,NA,0.16,6.88,NA,0,10724.64,NA,230.18,0.01,NA,1.15
"45",500,299.286912751678,"seagrass",225.08,NA,0,0.22,NA,0.16,3.88,NA,0,5826.9,NA,230.18,0.02,NA,1.15
"46",1000,299.286912751678,"seagrass",183.49,NA,0,0.19,NA,0.16,3.5,NA,0,5236.71,NA,230.18,0.03,NA,1.15
"47",6000,299.286912751678,"seagrass",157.32,NA,0,0.17,NA,0.16,3.24,NA,0,4824.5,NA,230.18,0.03,NA,1.15
"48",10000,299.286912751678,"seagrass",155.49,NA,0,0.17,NA,0.16,3.22,NA,0,4794.15,NA,230.18,0.03,NA,1.15
"49",22.7,299.34932885906,"seagrass",1026.78,NA,0,0.88,NA,0.16,8.47,NA,0,13354.04,NA,228.81,0,NA,1.15
"50",100,299.34932885906,"seagrass",705.45,NA,0,0.62,NA,0.16,6.88,NA,0,10671.48,NA,228.81,0.01,NA,1.15
"51",500,299.34932885906,"seagrass",225.08,NA,0,0.22,NA,0.16,3.88,NA,0,5798.22,NA,228.81,0.02,NA,1.15
"52",1000,299.34932885906,"seagrass",183.49,NA,0,0.19,NA,0.16,3.5,NA,0,5210.91,NA,228.81,0.03,NA,1.15
"53",6000,299.34932885906,"seagrass",157.32,NA,0,0.17,NA,0.16,3.24,NA,0,4800.67,NA,228.81,0.03,NA,1.15
"54",10000,299.34932885906,"seagrass",155.49,NA,0,0.16,NA,0.16,3.22,NA,0,4770.46,NA,228.81,0.03,NA,1.15
"55",22.7,299.411744966443,"seagrass",1026.78,NA,0,0.88,NA,0.16,8.47,NA,0,13287.6,NA,227.45,0,NA,1.15
"56",100,299.411744966443,"seagrass",705.46,NA,0,0.62,NA,0.16,6.88,NA,0,10618.61,NA,227.45,0.01,NA,1.15
"57",500,299.411744966443,"seagrass",225.08,NA,0,0.22,NA,0.16,3.88,NA,0,5769.68,NA,227.45,0.02,NA,1.15
"58",1000,299.411744966443,"seagrass",183.49,NA,0,0.19,NA,0.16,3.5,NA,0,5185.22,NA,227.45,0.03,NA,1.15
"59",6000,299.411744966443,"seagrass",157.31,NA,0,0.17,NA,0.16,3.24,NA,0,4776.93,NA,227.45,0.03,NA,1.15
"60",10000,299.411744966443,"seagrass",155.48,NA,0,0.16,NA,0.16,3.22,NA,0,4746.86,NA,227.45,0.03,NA,1.15
"61",22.7,299.474161073826,"seagrass",1026.78,NA,0,0.87,NA,0.16,8.47,NA,0,13221.51,NA,226.09,0,NA,1.15
"62",100,299.474161073826,"seagrass",705.46,NA,0,0.62,NA,0.16,6.88,NA,0,10566.01,NA,226.09,0.01,NA,1.15
"63",500,299.474161073826,"seagrass",225.08,NA,0,0.22,NA,0.16,3.88,NA,0,5741.27,NA,226.09,0.02,NA,1.15
"64",1000,299.474161073826,"seagrass",183.49,NA,0,0.19,NA,0.16,3.5,NA,0,5159.64,NA,226.09,0.03,NA,1.15
"65",6000,299.474161073826,"seagrass",157.3,NA,0,0.17,NA,0.16,3.24,NA,0,4753.29,NA,226.09,0.03,NA,1.15
"66",10000,299.474161073826,"seagrass",155.48,NA,0,0.16,NA,0.16,3.22,NA,0,4723.36,NA,226.09,0.03,NA,1.15
"67",22.7,299.536577181208,"seagrass",1026.77,NA,0,0.87,NA,0.16,8.47,NA,0,13155.76,NA,224.75,0,NA,1.15
"68",100,299.536577181208,"seagrass",705.46,NA,0,0.62,NA,0.16,6.88,NA,0,10513.68,NA,224.75,0.01,NA,1.15
"69",500,299.536577181208,"seagrass",225.08,NA,0,0.22,NA,0.16,3.88,NA,0,5713,NA,224.75,0.02,NA,1.15
