"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"44",100,0.593959731543624,"seagrass",781.28,NA,0,0.76,NA,0.2,7.49,NA,0,12234.38,NA,285.09,0.01,NA,1.18
"45",500,0.593959731543624,"seagrass",235.12,NA,0,0.27,NA,0.2,4.02,NA,0,6314.36,NA,285.09,0.02,NA,1.18
"46",1000,0.593959731543624,"seagrass",188.9,NA,0,0.23,NA,0.2,3.6,NA,0,5614.11,NA,285.09,0.03,NA,1.18
"47",6000,0.593959731543624,"seagrass",160.36,NA,0,0.2,NA,0.2,3.3,NA,0,5131.16,NA,285.09,0.04,NA,1.18
"48",10000,0.593959731543624,"seagrass",158.38,NA,0,0.2,NA,0.2,3.28,NA,0,5095.61,NA,285.09,0.04,NA,1.18
"49",22.7,0.60738255033557,"seagrass",1136.86,NA,0,1.08,NA,0.2,9.33,NA,0,15494.05,NA,291.54,0.01,NA,1.18
"50",100,0.60738255033557,"seagrass",792.4,NA,0,0.78,NA,0.2,7.58,NA,0,12399.53,NA,291.54,0.01,NA,1.18
"51",500,0.60738255033557,"seagrass",236.58,NA,0,0.28,NA,0.2,4.05,NA,0,6355.11,NA,291.54,0.02,NA,1.18
"52",1000,0.60738255033557,"seagrass",189.65,NA,0,0.23,NA,0.2,3.61,NA,0,5641.17,NA,291.54,0.03,NA,1.18
"53",6000,0.60738255033557,"seagrass",160.75,NA,0,0.2,NA,0.2,3.31,NA,0,5149.31,NA,291.54,0.04,NA,1.18
"54",10000,0.60738255033557,"seagrass",158.74,NA,0,0.2,NA,0.2,3.28,NA,0,5113.08,NA,291.54,0.04,NA,1.18
"55",22.7,0.620805369127517,"seagrass",1150.68,NA,0,1.11,NA,0.2,9.43,NA,0,15694.42,NA,297.98,0.01,NA,1.19
"56",100,0.620805369127517,"seagrass",803.58,NA,0,0.8,NA,0.2,7.67,NA,0,12565.56,NA,297.98,0.01,NA,1.19
"57",500,0.620805369127517,"seagrass",238.04,NA,0,0.29,NA,0.2,4.07,NA,0,6395.92,NA,297.98,0.02,NA,1.19
"58",1000,0.620805369127517,"seagrass",190.4,NA,0,0.24,NA,0.2,3.62,NA,0,5668.04,NA,297.98,0.03,NA,1.19
"59",6000,0.620805369127517,"seagrass",161.12,NA,0,0.21,NA,0.2,3.31,NA,0,5166.99,NA,297.98,0.04,NA,1.19
"60",10000,0.620805369127517,"seagrass",159.09,NA,0,0.21,NA,0.2,3.29,NA,0,5130.04,NA,297.98,0.05,NA,1.19
"61",22.7,0.634228187919463,"seagrass",1164.51,NA,0,1.13,NA,0.21,9.54,NA,0,15894.97,NA,304.42,0.01,NA,1.19
"62",100,0.634228187919463,"seagrass",814.83,NA,0,0.83,NA,0.21,7.76,NA,0,12732.45,NA,304.42,0.01,NA,1.19
"63",500,0.634228187919463,"seagrass",239.51,NA,0,0.29,NA,0.21,4.09,NA,0,6436.8,NA,304.42,0.02,NA,1.19
"64",1000,0.634228187919463,"seagrass",191.13,NA,0,0.24,NA,0.21,3.64,NA,0,5694.7,NA,304.42,0.03,NA,1.19
"65",6000,0.634228187919463,"seagrass",161.47,NA,0,0.21,NA,0.21,3.32,NA,0,5184.13,NA,304.42,0.05,NA,1.19
"66",10000,0.634228187919463,"seagrass",159.41,NA,0,0.21,NA,0.21,3.3,NA,0,5146.44,NA,304.42,0.05,NA,1.19
"67",22.7,0.647651006711409,"seagrass",1178.36,NA,0,1.16,NA,0.21,9.65,NA,0,16095.7,NA,310.87,0.01,NA,1.2
"68",100,0.647651006711409,"seagrass",826.14,NA,0,0.85,NA,0.21,7.85,NA,0,12900.17,NA,310.87,0.01,NA,1.2
"69",500,0.647651006711409,"seagrass",240.98,NA,0,0.3,NA,0.21,4.11,NA,0,6477.73,NA,310.87,0.02,NA,1.2
"70",1000,0.647651006711409,"seagrass",191.86,NA,0,0.25,NA,0.21,3.65,NA,0,5721.12,NA,310.87,0.03,NA,1.2
"71",6000,0.647651006711409,"seagrass",161.8,NA,0,0.22,NA,0.21,3.33,NA,0,5200.68,NA,310.87,0.05,NA,1.2
"72",10000,0.647651006711409,"seagrass",159.72,NA,0,0.22,NA,0.21,3.3,NA,0,5162.2,NA,310.87,0.05,NA,1.2
"73",22.7,0.661073825503356,"seagrass",1192.22,NA,0,1.18,NA,0.22,9.75,NA,0,16296.59,NA,317.31,0.01,NA,1.2
"74",100,0.661073825503356,"seagrass",837.52,NA,0,0.87,NA,0.22,7.94,NA,0,13068.72,NA,317.31,0.01,NA,1.2
"75",500,0.661073825503356,"seagrass",242.45,NA,0,0.31,NA,0.22,4.13,NA,0,6518.71,NA,317.31,0.02,NA,1.2
"76",1000,0.661073825503356,"seagrass",192.58,NA,0,0.25,NA,0.22,3.66,NA,0,5747.27,NA,317.31,0.03,NA,1.2
"77",6000,0.661073825503356,"seagrass",162.11,NA,0,0.22,NA,0.22,3.33,NA,0,5216.56,NA,317.31,0.05,NA,1.2
"78",10000,0.661073825503356,"seagrass",160,NA,0,0.22,NA,0.22,3.31,NA,0,5177.24,NA,317.31,0.05,NA,1.2
"79",22.7,0.674496644295302,"seagrass",1206.09,NA,0,1.21,NA,0.22,9.86,NA,0,16497.65,NA,323.76,0.01,NA,1.2
"80",100,0.674496644295302,"seagrass",848.95,NA,0,0.89,NA,0.22,8.03,NA,0,13238.06,NA,323.76,0.01,NA,1.2
