"","da","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"43",0,0.000563758389261745,"seagrass",214.3,NA,0,0.59,NA,0.11,2.17,NA,0,4049.66,NA,162.15,0.01,NA,0.69
"44",0.0208333333333333,0.000563758389261745,"seagrass",214.3,NA,0,0.59,NA,0.11,2.17,NA,0,4038.21,NA,161.69,0.01,NA,0.69
"45",20,0.000563758389261745,"seagrass",214.3,NA,0,0.59,NA,0.11,2.17,NA,0,1088.08,NA,43.57,0.01,NA,0.69
"46",0,0.000604026845637584,"seagrass",202.72,NA,0,0.58,NA,0.11,2.07,NA,0,3891.15,NA,162.15,0.01,NA,0.69
"47",0.0208333333333333,0.000604026845637584,"seagrass",202.72,NA,0,0.58,NA,0.11,2.07,NA,0,3879.36,NA,161.66,0.01,NA,0.69
"48",20,0.000604026845637584,"seagrass",202.72,NA,0,0.58,NA,0.11,2.07,NA,0,993.59,NA,41.4,0.01,NA,0.69
"49",0,0.000644295302013423,"seagrass",192.17,NA,0,0.57,NA,0.11,1.99,NA,0,3745.49,NA,162.15,0.01,NA,0.69
"50",0.0208333333333333,0.000644295302013423,"seagrass",192.17,NA,0,0.57,NA,0.11,1.99,NA,0,3733.39,NA,161.63,0.01,NA,0.69
"51",20,0.000644295302013423,"seagrass",192.17,NA,0,0.57,NA,0.11,1.99,NA,0,911.17,NA,39.45,0.01,NA,0.69
"52",0,0.000684563758389262,"seagrass",182.53,NA,0,0.56,NA,0.11,1.91,NA,0,3611.18,NA,162.15,0.01,NA,0.69
"53",0.0208333333333333,0.000684563758389262,"seagrass",182.53,NA,0,0.56,NA,0.11,1.91,NA,0,3598.79,NA,161.59,0.01,NA,0.69
"54",20,0.000684563758389262,"seagrass",182.53,NA,0,0.56,NA,0.11,1.91,NA,0,838.82,NA,37.66,0.01,NA,0.69
"55",0,0.000724832214765101,"seagrass",173.71,NA,0,0.55,NA,0.11,1.83,NA,0,3486.93,NA,162.15,0.01,NA,0.69
"56",0.0208333333333333,0.000724832214765101,"seagrass",173.71,NA,0,0.55,NA,0.11,1.83,NA,0,3474.26,NA,161.56,0.01,NA,0.69
"57",20,0.000724832214765101,"seagrass",173.71,NA,0,0.55,NA,0.11,1.83,NA,0,774.96,NA,36.04,0.01,NA,0.69
"58",0,0.00076510067114094,"seagrass",165.59,NA,0,0.54,NA,0.11,1.77,NA,0,3371.64,NA,162.15,0.01,NA,0.69
"59",0.0208333333333333,0.00076510067114094,"seagrass",165.59,NA,0,0.54,NA,0.11,1.77,NA,0,3358.72,NA,161.53,0.01,NA,0.69
"60",20,0.00076510067114094,"seagrass",165.59,NA,0,0.54,NA,0.11,1.77,NA,0,718.3,NA,34.54,0.01,NA,0.69
"61",0,0.000805369127516779,"seagrass",158.11,NA,0,0.53,NA,0.11,1.7,NA,0,3264.38,NA,162.15,0.01,NA,0.69
"62",0.0208333333333333,0.000805369127516779,"seagrass",158.11,NA,0,0.53,NA,0.11,1.7,NA,0,3251.22,NA,161.5,0.01,NA,0.69
"63",20,0.000805369127516779,"seagrass",158.11,NA,0,0.53,NA,0.11,1.7,NA,0,667.79,NA,33.17,0.01,NA,0.69
"64",0,0.000845637583892618,"seagrass",151.2,NA,0,0.52,NA,0.11,1.64,NA,0,3164.34,NA,162.15,0.01,NA,0.69
"65",0.0208333333333333,0.000845637583892618,"seagrass",151.2,NA,0,0.52,NA,0.11,1.64,NA,0,3150.94,NA,161.46,0.01,NA,0.69
"66",20,0.000845637583892618,"seagrass",151.2,NA,0,0.52,NA,0.11,1.64,NA,0,622.57,NA,31.9,0.01,NA,0.69
"67",0,0.000885906040268456,"seagrass",144.79,NA,0,0.51,NA,0.11,1.59,NA,0,3070.79,NA,162.15,0.01,NA,0.69
"68",0.0208333333333333,0.000885906040268456,"seagrass",144.79,NA,0,0.51,NA,0.11,1.59,NA,0,3057.17,NA,161.43,0.01,NA,0.69
"69",20,0.000885906040268456,"seagrass",144.79,NA,0,0.51,NA,0.11,1.59,NA,0,581.9,NA,30.73,0.01,NA,0.69
"70",0,0.000926174496644295,"seagrass",138.85,NA,0,0.5,NA,0.11,1.54,NA,0,2983.13,NA,162.15,0.01,NA,0.69
"71",0.0208333333333333,0.000926174496644295,"seagrass",138.85,NA,0,0.5,NA,0.11,1.54,NA,0,2969.3,NA,161.4,0.01,NA,0.69
"72",20,0.000926174496644295,"seagrass",138.85,NA,0,0.5,NA,0.11,1.54,NA,0,545.21,NA,29.64,0.01,NA,0.69
"73",0,0.000966442953020134,"seagrass",133.31,NA,0,0.49,NA,0.11,1.49,NA,0,2900.81,NA,162.15,0.01,NA,0.69
"74",0.0208333333333333,0.000966442953020134,"seagrass",133.31,NA,0,0.49,NA,0.11,1.49,NA,0,2886.78,NA,161.37,0.01,NA,0.69
"75",20,0.000966442953020134,"seagrass",133.31,NA,0,0.49,NA,0.11,1.49,NA,0,511.97,NA,28.62,0.01,NA,0.69
"76",0,0.00100671140939597,"seagrass",128.16,NA,0,0.48,NA,0.11,1.45,NA,0,2823.36,NA,162.15,0.01,NA,0.69
"77",0.0208333333333333,0.00100671140939597,"seagrass",128.16,NA,0,0.48,NA,0.11,1.45,NA,0,2809.14,NA,161.33,0.01,NA,0.69
"78",20,0.00100671140939597,"seagrass",128.16,NA,0,0.48,NA,0.11,1.45,NA,0,481.77,NA,27.67,0.01,NA,0.69
"79",0,0.00104697986577181,"seagrass",123.34,NA,0,0.47,NA,0.11,1.41,NA,0,2750.35,NA,162.15,0.01,NA,0.69
"80",0.0208333333333333,0.00104697986577181,"seagrass",123.34,NA,0,0.47,NA,0.11,1.41,NA,0,2735.95,NA,161.3,0.01,NA,0.69
"81",20,0.00104697986577181,"seagrass",123.34,NA,0,0.47,NA,0.11,1.41,NA,0,454.24,NA,26.78,0.01,NA,0.69
