"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"42",1e+06,0.000805369127516779,"seagrass",500.17,NA,0,0.11,NA,0.11,12.83,NA,0,19284.92,NA,161.5,0.19,NA,7.72
"43",22.7,0.000845637583892618,"seagrass",151.2,NA,0,0.52,NA,0.11,1.64,NA,0,3150.94,NA,161.46,0.01,NA,0.69
"44",1e+06,0.000845637583892618,"seagrass",492.09,NA,0,0.11,NA,0.11,12.63,NA,0,18970.83,NA,161.46,0.21,NA,7.72
"45",22.7,0.000885906040268456,"seagrass",144.79,NA,0,0.51,NA,0.11,1.59,NA,0,3057.17,NA,161.43,0.01,NA,0.69
"46",1e+06,0.000885906040268456,"seagrass",484.01,NA,0,0.11,NA,0.11,12.42,NA,0,18656.95,NA,161.43,0.23,NA,7.72
"47",22.7,0.000926174496644295,"seagrass",138.85,NA,0,0.5,NA,0.11,1.54,NA,0,2969.3,NA,161.4,0.01,NA,0.69
"48",1e+06,0.000926174496644295,"seagrass",475.87,NA,0,0.11,NA,0.11,12.22,NA,0,18340.64,NA,161.4,0.26,NA,7.72
"49",22.7,0.000966442953020134,"seagrass",133.31,NA,0,0.49,NA,0.11,1.49,NA,0,2886.78,NA,161.37,0.01,NA,0.69
"50",1e+06,0.000966442953020134,"seagrass",467.56,NA,0,0.11,NA,0.11,12.01,NA,0,18018.19,NA,161.37,0.29,NA,7.72
"51",22.7,0.00100671140939597,"seagrass",128.16,NA,0,0.48,NA,0.11,1.45,NA,0,2809.14,NA,161.33,0.01,NA,0.69
"52",1e+06,0.00100671140939597,"seagrass",458.94,NA,0,0.11,NA,0.11,11.79,NA,0,17684.08,NA,161.33,0.33,NA,7.72
"53",22.7,0.00104697986577181,"seagrass",123.34,NA,0,0.47,NA,0.11,1.41,NA,0,2735.95,NA,161.3,0.01,NA,0.69
"54",1e+06,0.00104697986577181,"seagrass",449.79,NA,0,0.11,NA,0.11,11.56,NA,0,17329.61,NA,161.3,0.38,NA,7.72
"55",22.7,0.00108724832214765,"seagrass",118.82,NA,0,0.47,NA,0.11,1.37,NA,0,2666.83,NA,161.27,0.01,NA,0.69
"56",1e+06,0.00108724832214765,"seagrass",439.71,NA,0,0.11,NA,0.11,11.31,NA,0,16939.93,NA,161.27,0.45,NA,7.72
"57",22.7,0.00112751677852349,"seagrass",114.6,NA,0,0.46,NA,0.11,1.33,NA,0,2601.45,NA,161.24,0.01,NA,0.69
"58",1e+06,0.00112751677852349,"seagrass",427.98,NA,0,0.11,NA,0.11,11.01,NA,0,16487.28,NA,161.24,0.55,NA,7.72
