"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"38",1e+06,1.04362416107383,"seagrass",696.91,NA,0,0.23,NA,0.23,17.72,NA,0,27143.84,NA,338.48,0.28,NA,7.83
"39",22.7,1.0738255033557,"seagrass",1297.24,NA,0,1.86,NA,0.24,10.71,NA,0,18796.62,NA,348.28,0.01,NA,0.81
"40",1e+06,1.0738255033557,"seagrass",691.01,NA,0,0.23,NA,0.24,17.58,NA,0,26925.78,NA,348.28,0.35,NA,7.84
"41",22.7,1.10402684563758,"seagrass",1328.93,NA,0,1.92,NA,0.25,10.95,NA,0,19256.28,NA,358.07,0.01,NA,0.81
"42",1e+06,1.10402684563758,"seagrass",680.93,NA,0,0.24,NA,0.25,17.33,NA,0,26545.39,NA,358.07,0.47,NA,7.85
"43",22.7,1.13422818791946,"seagrass",1360.66,NA,0,1.97,NA,0.25,11.2,NA,0,19716.45,NA,367.87,0.01,NA,0.82
"44",1e+06,1.13422818791946,"seagrass",660.6,NA,0,0.25,NA,0.25,16.83,NA,0,25769.17,NA,367.87,0.69,NA,7.85
"45",22.7,1.16442953020134,"bistable",1392.42,0.22,0,2.03,0.26,0.26,11.44,0.01,0,20177.09,389.84,377.67,0.01,0.82,0.82
"46",1e+06,1.16442953020134,"seagrass",601.55,NA,0,0.25,NA,0.26,15.36,NA,0,23496.12,NA,377.67,1.33,NA,7.86
"47",22.7,1.19463087248322,"bistable",1424.21,0.54,0,2.08,0.27,0.27,11.68,0.01,0,20638.16,416.97,387.46,0.01,0.83,0.83
"48",1e+06,1.19463087248322,"bare",NA,NA,0,NA,NA,0.27,NA,NA,0,NA,NA,387.46,NA,NA,7.86
"49",22.7,1.2248322147651,"bistable",1456.03,0.86,0,2.14,0.28,0.27,11.93,0.02,0,21099.66,444.66,397.26,0.01,0.84,0.84
"50",1e+06,1.2248322147651,"bare",NA,NA,0,NA,NA,0.27,NA,NA,0,NA,NA,397.26,NA,NA,7.87
"51",22.7,1.25503355704698,"bistable",1487.88,1.19,0,2.2,0.29,0.28,12.17,0.03,0,21561.54,472.93,407.06,0.01,0.84,0.84
"52",1e+06,1.25503355704698,"bare",NA,NA,0,NA,NA,0.28,NA,NA,0,NA,NA,407.06,NA,NA,7.88
"53",22.7,1.28523489932886,"bistable",1519.75,1.53,0,2.25,0.31,0.29,12.41,0.04,0,22023.79,501.8,416.86,0.01,0.85,0.85
"54",1e+06,1.28523489932886,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,416.86,NA,NA,7.88
"55",22.7,1.31543624161074,"bistable",1551.64,1.89,0,2.31,0.32,0.29,12.66,0.05,0,22486.38,531.28,426.66,0.01,0.86,0.86
"56",1e+06,1.31543624161074,"bare",NA,NA,0,NA,NA,0.29,NA,NA,0,NA,NA,426.66,NA,NA,7.89
"57",22.7,1.34563758389262,"bistable",1583.55,2.25,0,2.36,0.33,0.3,12.9,0.06,0,22949.29,561.39,436.45,0.01,0.87,0.86
"58",1e+06,1.34563758389262,"bare",NA,NA,0,NA,NA,0.3,NA,NA,0,NA,NA,436.45,NA,NA,7.89
"59",22.7,1.3758389261745,"bistable",1615.48,2.62,0,2.42,0.34,0.31,13.14,0.06,0,23412.51,592.16,446.25,0.01,0.87,0.87
"60",1e+06,1.3758389261745,"bare",NA,NA,0,NA,NA,0.31,NA,NA,0,NA,NA,446.25,NA,NA,7.9
"61",22.7,1.40604026845638,"bistable",1647.43,3.01,0,2.48,0.35,0.31,13.38,0.07,0,23876.02,623.6,456.05,0.01,0.88,0.87
