"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"75",22.7,301.159395973154,"seagrass",706.95,NA,0,0.77,NA,0.11,6.12,NA,0,8507.45,NA,130.2,0,NA,0.69
"76",1e+06,301.159395973154,"seagrass",705.11,NA,0,0.1,NA,0.11,17.92,NA,0,22793.14,NA,130.2,0.09,NA,7.72
"77",22.7,301.221812080537,"seagrass",706.94,NA,0,0.77,NA,0.11,6.12,NA,0,8465.23,NA,129.42,0,NA,0.69
"78",1e+06,301.221812080537,"seagrass",704.95,NA,0,0.1,NA,0.11,17.92,NA,0,22678.14,NA,129.42,0.09,NA,7.72
"79",22.7,301.284228187919,"seagrass",706.93,NA,0,0.77,NA,0.11,6.12,NA,0,8423.22,NA,128.65,0,NA,0.69
"80",1e+06,301.284228187919,"seagrass",704.77,NA,0,0.1,NA,0.11,17.91,NA,0,22563.33,NA,128.65,0.09,NA,7.72
"81",22.7,301.346644295302,"seagrass",706.92,NA,0,0.77,NA,0.11,6.12,NA,0,8381.43,NA,127.89,0,NA,0.69
"82",1e+06,301.346644295302,"seagrass",704.57,NA,0,0.1,NA,0.11,17.91,NA,0,22448.64,NA,127.89,0.09,NA,7.72
"83",22.7,301.409060402685,"seagrass",706.91,NA,0,0.76,NA,0.11,6.12,NA,0,8339.85,NA,127.13,0,NA,0.69
"84",1e+06,301.409060402685,"seagrass",704.36,NA,0,0.1,NA,0.11,17.9,NA,0,22334.05,NA,127.13,0.09,NA,7.72
"85",22.7,301.471476510067,"seagrass",706.9,NA,0,0.76,NA,0.11,6.12,NA,0,8298.49,NA,126.37,0,NA,0.69
"86",1e+06,301.471476510067,"seagrass",704.12,NA,0,0.1,NA,0.11,17.9,NA,0,22219.48,NA,126.37,0.1,NA,7.72
"87",22.7,301.53389261745,"seagrass",706.89,NA,0,0.76,NA,0.11,6.12,NA,0,8257.34,NA,125.62,0,NA,0.69
"88",1e+06,301.53389261745,"seagrass",703.87,NA,0,0.1,NA,0.11,17.89,NA,0,22104.87,NA,125.62,0.1,NA,7.72
"89",22.7,301.596308724832,"seagrass",706.87,NA,0,0.76,NA,0.11,6.12,NA,0,8216.4,NA,124.87,0,NA,0.69
"90",1e+06,301.596308724832,"seagrass",703.59,NA,0,0.1,NA,0.11,17.88,NA,0,21990.14,NA,124.87,0.1,NA,7.72
"91",22.7,301.658724832215,"seagrass",706.86,NA,0,0.76,NA,0.11,6.12,NA,0,8175.67,NA,124.13,0,NA,0.69
"92",1e+06,301.658724832215,"seagrass",703.29,NA,0,0.1,NA,0.11,17.87,NA,0,21875.2,NA,124.13,0.11,NA,7.72
"93",22.7,301.721140939597,"seagrass",706.85,NA,0,0.76,NA,0.11,6.12,NA,0,8135.15,NA,123.39,0,NA,0.69
"94",1e+06,301.721140939597,"seagrass",702.96,NA,0,0.1,NA,0.11,17.87,NA,0,21759.95,NA,123.39,0.11,NA,7.72
"95",22.7,301.78355704698,"seagrass",706.83,NA,0,0.76,NA,0.11,6.12,NA,0,8094.84,NA,122.65,0,NA,0.69
"96",1e+06,301.78355704698,"seagrass",702.59,NA,0,0.1,NA,0.11,17.86,NA,0,21644.25,NA,122.65,0.11,NA,7.72
"97",22.7,301.845973154362,"seagrass",706.82,NA,0,0.76,NA,0.11,6.11,NA,0,8054.73,NA,121.92,0,NA,0.69
"98",1e+06,301.845973154362,"seagrass",702.18,NA,0,0.1,NA,0.11,17.85,NA,0,21527.95,NA,121.92,0.12,NA,7.72
"99",22.7,301.908389261745,"seagrass",706.8,NA,0,0.76,NA,0.11,6.11,NA,0,8014.83,NA,121.19,0,NA,0.69
"100",1e+06,301.908389261745,"seagrass",701.72,NA,0,0.1,NA,0.11,17.83,NA,0,21410.87,NA,121.19,0.12,NA,7.72
"101",22.7,301.970805369128,"seagrass",706.79,NA,0,0.76,NA,0.11,6.11,NA,0,7975.14,NA,120.47,0,NA,0.69
"102",1e+06,301.970805369128,"seagrass",701.2,NA,0,0.1,NA,0.11,17.82,NA,0,21292.77,NA,120.47,0.13,NA,7.72
"103",22.7,302.03322147651,"seagrass",706.77,NA,0,0.75,NA,0.11,6.11,NA,0,7935.64,NA,119.75,0,NA,0.69
"104",1e+06,302.03322147651,"seagrass",700.62,NA,0,0.1,NA,0.11,17.81,NA,0,21173.37,NA,119.75,0.14,NA,7.72
"105",22.7,302.095637583893,"seagrass",706.75,NA,0,0.75,NA,0.1,6.11,NA,0,7896.34,NA,119.04,0,NA,0.69
"106",1e+06,302.095637583893,"seagrass",699.97,NA,0,0.1,NA,0.1,17.79,NA,0,21052.31,NA,119.04,0.14,NA,7.72
"107",22.7,302.158053691275,"seagrass",706.74,NA,0,0.75,NA,0.1,6.11,NA,0,7857.25,NA,118.32,0,NA,0.69
"108",1e+06,302.158053691275,"seagrass",699.22,NA,0,0.1,NA,0.1,17.77,NA,0,20929.14,NA,118.32,0.15,NA,7.72
"109",22.7,302.220469798658,"seagrass",706.72,NA,0,0.75,NA,0.1,6.11,NA,0,7818.35,NA,117.62,0.01,NA,0.69
"110",1e+06,302.220469798658,"seagrass",698.35,NA,0,0.1,NA,0.1,17.75,NA,0,20803.27,NA,117.62,0.16,NA,7.72
"111",22.7,302.28288590604,"seagrass",706.7,NA,0,0.75,NA,0.1,6.11,NA,0,7779.64,NA,116.91,0.01,NA,0.69
"112",1e+06,302.28288590604,"seagrass",697.34,NA,0,0.1,NA,0.1,17.72,NA,0,20673.92,NA,116.91,0.17,NA,7.72
"113",22.7,302.345302013423,"seagrass",706.67,NA,0,0.75,NA,0.1,6.11,NA,0,7741.14,NA,116.22,0.01,NA,0.69
"114",1e+06,302.345302013423,"seagrass",696.15,NA,0,0.1,NA,0.1,17.69,NA,0,20540.03,NA,116.22,0.18,NA,7.72
"115",22.7,302.407718120805,"seagrass",706.65,NA,0,0.75,NA,0.1,6.11,NA,0,7702.82,NA,115.52,0.01,NA,0.69
"116",1e+06,302.407718120805,"seagrass",694.73,NA,0,0.1,NA,0.1,17.66,NA,0,20400.15,NA,115.52,0.2,NA,7.72
"117",22.7,302.470134228188,"seagrass",706.63,NA,0,0.75,NA,0.1,6.11,NA,0,7664.7,NA,114.83,0.01,NA,0.69
"118",1e+06,302.470134228188,"seagrass",693,NA,0,0.1,NA,0.1,17.62,NA,0,20252.22,NA,114.83,0.22,NA,7.72
"119",22.7,302.53255033557,"seagrass",706.6,NA,0,0.75,NA,0.1,6.11,NA,0,7626.77,NA,114.14,0.01,NA,0.69
"120",1e+06,302.53255033557,"seagrass",690.85,NA,0,0.1,NA,0.1,17.56,NA,0,20093.19,NA,114.14,0.24,NA,7.72
"121",22.7,302.594966442953,"seagrass",706.58,NA,0,0.74,NA,0.1,6.11,NA,0,7589.03,NA,113.46,0.01,NA,0.69
"122",1e+06,302.594966442953,"seagrass",688.12,NA,0,0.1,NA,0.1,17.5,NA,0,19918.36,NA,113.46,0.27,NA,7.72
"123",22.7,302.657382550336,"seagrass",706.55,NA,0,0.74,NA,0.1,6.11,NA,0,7551.47,NA,112.78,0.01,NA,0.69
"124",1e+06,302.657382550336,"seagrass",684.54,NA,0,0.1,NA,0.1,17.41,NA,0,19720.14,NA,112.78,0.31,NA,7.72
"125",22.7,302.719798657718,"seagrass",706.52,NA,0,0.74,NA,0.1,6.11,NA,0,7514.1,NA,112.1,0.01,NA,0.69
"126",1e+06,302.719798657718,"seagrass",679.63,NA,0,0.1,NA,0.1,17.29,NA,0,19485.33,NA,112.1,0.36,NA,7.72
"127",22.7,302.782214765101,"seagrass",706.49,NA,0,0.74,NA,0.1,6.11,NA,0,7476.92,NA,111.43,0.01,NA,0.69
"128",1e+06,302.782214765101,"seagrass",672.49,NA,0,0.1,NA,0.1,17.11,NA,0,19188.79,NA,111.43,0.44,NA,7.72
"129",22.7,302.844630872483,"seagrass",706.46,NA,0,0.74,NA,0.1,6.11,NA,0,7439.92,NA,110.77,0.01,NA,0.69
"130",1e+06,302.844630872483,"seagrass",661.18,NA,0,0.1,NA,0.1,16.83,NA,0,18776.04,NA,110.77,0.56,NA,7.72
"131",22.7,302.907046979866,"bistable",706.43,0.09,0,0.74,0.1,0.1,6.11,0,0,7403.1,113.04,110.1,0.01,0.69,0.69
"132",1e+06,302.907046979866,"seagrass",640.51,NA,0,0.1,NA,0.1,16.32,NA,0,18102.53,NA,110.1,0.78,NA,7.72
"133",22.7,302.969463087248,"bistable",706.39,0.33,0,0.74,0.1,0.1,6.11,0.01,0,7366.46,120,109.44,0.01,0.69,0.69
"134",1e+06,302.969463087248,"seagrass",590.61,NA,0,0.1,NA,0.1,15.08,NA,0,16613.87,NA,109.44,1.32,NA,7.72
"135",22.7,303.031879194631,"bistable",706.36,0.57,0,0.74,0.11,0.1,6.11,0.01,0,7329.99,127.15,108.78,0.01,0.69,0.69
"136",1e+06,303.031879194631,"seagrass",278.54,NA,0,0.1,NA,0.1,7.21,NA,0,7832.99,NA,108.78,4.68,NA,7.72
"137",22.7,303.094295302013,"bistable",706.32,0.83,0,0.74,0.11,0.1,6.11,0.02,0,7293.71,134.49,108.13,0.01,0.69,0.69
"138",1e+06,303.094295302013,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,108.13,NA,NA,7.72
"139",22.7,303.156711409396,"bistable",706.28,1.1,0,0.74,0.11,0.1,6.11,0.03,0,7257.6,142.02,107.48,0.01,0.68,0.69
"140",1e+06,303.156711409396,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,107.48,NA,NA,7.72
"141",22.7,303.219127516779,"bistable",706.24,1.38,0,0.73,0.11,0.1,6.11,0.03,0,7221.66,149.75,106.84,0.01,0.68,0.69
"142",1e+06,303.219127516779,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,106.84,NA,NA,7.72
"143",22.7,303.281543624161,"bistable",706.19,1.68,0,0.73,0.11,0.1,6.11,0.04,0,7185.89,157.7,106.2,0.01,0.68,0.69
"144",1e+06,303.281543624161,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,106.2,NA,NA,7.72
"145",22.7,303.343959731544,"bistable",706.14,1.98,0,0.73,0.11,0.1,6.11,0.05,0,7150.29,165.86,105.56,0.01,0.68,0.69
"146",1e+06,303.343959731544,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,105.56,NA,NA,7.72
"147",22.7,303.406375838926,"bistable",706.1,2.31,0,0.73,0.11,0.1,6.11,0.06,0,7114.86,174.26,104.92,0.01,0.68,0.69
"148",1e+06,303.406375838926,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,104.92,NA,NA,7.72
"149",22.7,303.468791946309,"bistable",706.04,2.65,0,0.73,0.11,0.1,6.11,0.07,0,7079.59,182.9,104.29,0.01,0.68,0.69
"150",1e+06,303.468791946309,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,104.29,NA,NA,7.72
"151",22.7,303.531208053691,"bistable",705.99,3,0,0.73,0.12,0.1,6.11,0.07,0,7044.49,191.78,103.66,0.01,0.67,0.69
"152",1e+06,303.531208053691,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,103.66,NA,NA,7.72
"153",22.7,303.593624161074,"bistable",705.93,3.38,0,0.73,0.12,0.1,6.1,0.08,0,7009.54,200.93,103.04,0.01,0.67,0.69
"154",1e+06,303.593624161074,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,103.04,NA,NA,7.72
"155",22.7,303.656040268456,"bistable",705.87,3.77,0,0.73,0.12,0.1,6.1,0.09,0,6974.76,210.36,102.42,0.01,0.67,0.69
"156",1e+06,303.656040268456,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,102.42,NA,NA,7.72
"157",22.7,303.718456375839,"bistable",705.81,4.18,0,0.73,0.12,0.1,6.1,0.1,0,6940.13,220.07,101.8,0.01,0.67,0.69
"158",1e+06,303.718456375839,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,101.8,NA,NA,7.72
"159",22.7,303.780872483221,"bistable",705.74,4.62,0,0.72,0.12,0.1,6.1,0.11,0,6905.65,230.08,101.19,0.01,0.67,0.69
"160",1e+06,303.780872483221,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,101.19,NA,NA,7.72
"161",22.7,303.843288590604,"bistable",705.67,5.07,0,0.72,0.12,0.1,6.1,0.12,0,6871.32,240.42,100.58,0.01,0.67,0.69
"162",1e+06,303.843288590604,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,100.58,NA,NA,7.72
"163",22.7,303.905704697987,"bistable",705.59,5.56,0,0.72,0.13,0.1,6.1,0.13,0,6837.14,251.1,99.98,0.01,0.67,0.69
"164",1e+06,303.905704697987,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,99.98,NA,NA,7.72
"165",22.7,303.968120805369,"bistable",705.51,6.07,0,0.72,0.13,0.1,6.1,0.14,0,6803.1,262.13,99.37,0.01,0.67,0.69
"166",1e+06,303.968120805369,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,99.37,NA,NA,7.72
"167",22.7,304.030536912752,"bistable",705.43,6.61,0,0.72,0.13,0.1,6.1,0.15,0,6769.2,273.54,98.77,0.01,0.66,0.69
"168",1e+06,304.030536912752,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,98.77,NA,NA,7.72
"169",22.7,304.092953020134,"bistable",705.34,7.18,0,0.72,0.13,0.1,6.1,0.16,0,6735.44,285.35,98.18,0.01,0.66,0.69
"170",1e+06,304.092953020134,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,98.18,NA,NA,7.72
"171",22.7,304.155369127517,"bistable",705.24,7.78,0,0.72,0.13,0.1,6.1,0.17,0,6701.81,297.6,97.58,0.01,0.66,0.69
"172",1e+06,304.155369127517,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,97.58,NA,NA,7.72
"173",22.7,304.217785234899,"bistable",705.14,8.42,0,0.72,0.14,0.1,6.1,0.19,0,6668.31,310.3,97,0.01,0.66,0.69
"174",1e+06,304.217785234899,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,97,NA,NA,7.72
"175",22.7,304.280201342282,"bistable",705.03,9.11,0,0.72,0.14,0.1,6.1,0.2,0,6634.93,323.49,96.41,0.01,0.66,0.69
"176",1e+06,304.280201342282,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,96.41,NA,NA,7.72
"177",22.7,304.342617449664,"bistable",704.91,9.83,0,0.71,0.14,0.1,6.1,0.21,0,6601.67,337.2,95.83,0.01,0.66,0.69
"178",1e+06,304.342617449664,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,95.83,NA,NA,7.72
"179",22.7,304.405033557047,"bistable",704.78,10.61,0,0.71,0.14,0.1,6.09,0.22,0,6568.52,351.48,95.25,0.01,0.66,0.69
"180",1e+06,304.405033557047,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,95.25,NA,NA,7.72
"181",22.7,304.46744966443,"bistable",704.65,11.44,0,0.71,0.15,0.1,6.09,0.24,0,6535.47,366.37,94.67,0.01,0.66,0.69
"182",1e+06,304.46744966443,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,94.67,NA,NA,7.72
"183",22.7,304.529865771812,"bistable",704.5,12.32,0,0.71,0.15,0.1,6.09,0.25,0,6502.52,381.93,94.1,0.01,0.66,0.69
"184",1e+06,304.529865771812,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,94.1,NA,NA,7.72
"185",22.7,304.592281879195,"bistable",704.35,13.28,0,0.71,0.15,0.1,6.09,0.27,0,6469.66,398.19,93.53,0.01,0.66,0.69
"186",1e+06,304.592281879195,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,93.53,NA,NA,7.72
"187",22.7,304.654697986577,"bistable",704.18,14.3,0,0.71,0.16,0.1,6.09,0.29,0,6436.88,415.24,92.97,0.01,0.65,0.69
"188",1e+06,304.654697986577,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,92.97,NA,NA,7.72
"189",22.7,304.71711409396,"bistable",704,15.41,0,0.71,0.16,0.1,6.09,0.3,0,6404.17,433.15,92.4,0.01,0.65,0.69
"190",1e+06,304.71711409396,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,92.4,NA,NA,7.72
"191",22.7,304.779530201342,"bistable",703.8,16.6,0,0.71,0.17,0.1,6.09,0.32,0,6371.51,451.99,91.84,0.01,0.65,0.69
"192",1e+06,304.779530201342,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,91.84,NA,NA,7.72
"193",22.7,304.841946308725,"bistable",703.58,17.89,0,0.71,0.17,0.1,6.08,0.34,0,6338.89,471.87,91.29,0.01,0.65,0.69
"194",1e+06,304.841946308725,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,91.29,NA,NA,7.72
"195",22.7,304.904362416107,"bistable",703.34,19.3,0,0.7,0.18,0.1,6.08,0.36,0,6306.3,492.91,90.73,0.01,0.65,0.69
"196",1e+06,304.904362416107,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,90.73,NA,NA,7.72
"197",22.7,304.96677852349,"bistable",703.09,20.83,0,0.7,0.18,0.1,6.08,0.38,0,6273.71,515.22,90.18,0.01,0.65,0.69
"198",1e+06,304.96677852349,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,90.18,NA,NA,7.72
"199",22.7,305.029194630872,"bistable",702.8,22.52,0,0.7,0.19,0.1,6.08,0.41,0,6241.1,538.97,89.64,0.01,0.65,0.69
"200",1e+06,305.029194630872,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,89.64,NA,NA,7.72
"201",22.7,305.091610738255,"bistable",702.48,24.36,0,0.7,0.19,0.1,6.07,0.43,0,6208.45,564.34,89.09,0.01,0.66,0.69
"202",1e+06,305.091610738255,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,89.09,NA,NA,7.72
"203",22.7,305.154026845638,"bistable",702.13,26.41,0,0.7,0.2,0.1,6.07,0.46,0,6175.71,591.56,88.55,0.01,0.66,0.69
"204",1e+06,305.154026845638,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,88.55,NA,NA,7.72
"205",22.7,305.21644295302,"bistable",701.74,28.67,0,0.7,0.21,0.1,6.07,0.49,0,6142.84,620.87,88.02,0.01,0.66,0.69
"206",1e+06,305.21644295302,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,88.02,NA,NA,7.72
"207",22.7,305.278859060403,"bistable",701.3,31.21,0,0.7,0.21,0.1,6.06,0.52,0,6109.8,652.62,87.48,0.01,0.66,0.69
"208",1e+06,305.278859060403,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,87.48,NA,NA,7.72
"209",22.7,305.341275167785,"bistable",700.8,34.05,0,0.7,0.22,0.1,6.06,0.55,0,6076.51,687.18,86.95,0.01,0.66,0.69
"210",1e+06,305.341275167785,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,86.95,NA,NA,7.72
"211",22.7,305.403691275168,"bistable",700.23,37.27,0,0.69,0.23,0.1,6.06,0.59,0,6042.9,725.06,86.42,0.02,0.66,0.69
"212",1e+06,305.403691275168,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,86.42,NA,NA,7.72
"213",22.7,305.46610738255,"bistable",699.58,40.93,0,0.69,0.24,0.1,6.05,0.63,0,6008.86,766.88,85.9,0.02,0.67,0.69
"214",1e+06,305.46610738255,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,85.9,NA,NA,7.72
"215",22.7,305.528523489933,"bistable",698.81,45.15,0,0.69,0.25,0.1,6.04,0.68,0,5974.24,813.43,85.37,0.02,0.67,0.69
"216",1e+06,305.528523489933,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,85.37,NA,NA,7.72
"217",22.7,305.590939597315,"bistable",697.92,50.06,0,0.69,0.27,0.1,6.04,0.73,0,5938.85,865.77,84.85,0.02,0.67,0.69
"218",1e+06,305.590939597315,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,84.85,NA,NA,7.72
"219",22.7,305.653355704698,"bistable",696.85,55.82,0,0.69,0.28,0.1,6.03,0.79,0,5902.42,925.28,84.34,0.02,0.67,0.69
"220",1e+06,305.653355704698,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,84.34,NA,NA,7.72
"221",22.7,305.715771812081,"bistable",695.55,62.71,0,0.69,0.3,0.1,6.02,0.85,0,5864.59,993.89,83.82,0.02,0.68,0.69
"222",1e+06,305.715771812081,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,83.82,NA,NA,7.72
"223",22.7,305.778187919463,"bistable",693.94,71.07,0,0.69,0.31,0.1,6.01,0.93,0,5824.78,1074.27,83.31,0.02,0.68,0.69
"224",1e+06,305.778187919463,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,83.31,NA,NA,7.72
"225",22.7,305.840604026846,"bistable",691.89,81.44,0,0.69,0.33,0.1,5.99,1.03,0,5782.13,1170.35,82.81,0.03,0.68,0.69
"226",1e+06,305.840604026846,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,82.81,NA,NA,7.72
"227",22.7,305.903020134228,"bistable",689.2,94.63,0,0.68,0.36,0.1,5.97,1.15,0,5735.25,1288.14,82.3,0.03,0.69,0.69
"228",1e+06,305.903020134228,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,82.3,NA,NA,7.72
"229",22.7,305.965436241611,"bistable",685.51,112,0,0.68,0.39,0.1,5.94,1.3,0,5681.67,1437.32,81.8,0.04,0.69,0.69
"230",1e+06,305.965436241611,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,81.8,NA,NA,7.72
"231",22.7,306.027852348993,"bistable",680.13,135.93,0,0.68,0.42,0.1,5.9,1.51,0,5616.68,1634.77,81.3,0.05,0.68,0.69
"232",1e+06,306.027852348993,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,81.3,NA,NA,7.72
"233",22.7,306.090268456376,"bistable",671.52,171.12,0,0.68,0.46,0.1,5.83,1.81,0,5529.73,1913.24,80.81,0.06,0.67,0.69
"234",1e+06,306.090268456376,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,80.81,NA,NA,7.72
"235",22.7,306.152684563758,"bistable",655.36,228.54,0,0.67,0.51,0.1,5.7,2.28,0,5391.19,2348.32,80.31,0.08,0.63,0.69
"236",1e+06,306.152684563758,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,80.31,NA,NA,7.72
"237",22.7,306.215100671141,"bistable",610.79,345.81,0,0.66,0.58,0.1,5.35,3.23,0,5057.57,3197.54,79.82,0.15,0.5,0.69
"238",1e+06,306.215100671141,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,79.82,NA,NA,7.72
"239",22.7,306.277516778523,"bare",NA,NA,0,NA,NA,0.1,NA,NA,0,NA,NA,79.34,NA,NA,0.69
